latitude,longitude,store_number,phone,address,city,Province,postal_code
43.78369,-79.290933,Walmart; #3000,(416) 291-4100,3850 Sheppard Ave E,Agincourt,ON,M1T 3L4
43.866158,-79.013226,Walmart Supercentre; #3001,(905) 426-6160,270 Kingston Rd E RR #1,Ajax,ON,L1S 4S7
44.16152,-79.824624,Walmart Supercentre; #1083,(705) 435-7100,30 Dunham Dr,Alliston,ON,L9R 0G1
42.096909,-83.109026,Walmart Supercentre; #1072,(519)736-5600,400 Sandwich St S,Amherstburg,ON,N9V 3L4
43.198289,-80.014142,Walmart Supercentre; #3127,(905) 648-9980,1051 Garner Rd W,Ancaster,ON,L9G 3K9
44.01501,-79.411176,Walmart Supercentre; #5778,(905) 841-0300,135 First Commerce Dr,Aurora,ON,L4G 0G2
45.271416,-75.742012,Walmart Supercentre; #3638,(613) 823-8714,3651 Stranherd Dr,Barrhaven,ON,K2J 4G8
44.332781,-79.686094,Walmart Supercentre; #3123,(705) 728-9122,35 Mapleview Dr W,Barrie,ON,L4N 9H5
44.410359,-79.709831,Walmart Supercentre; #3166; (NOP),(705) 728-2833,450 Bayfield St,Barrie,ON,L4M 5A2
44.194385,-77.396406,Walmart Supercentre; #3122; (NOP),(613) 966-9466,274 Millenium Pkwy,Belleville,ON,K8N 4Z5
43.864038,-79.711282,Walmart Supercentre; #5742,(905) 857-7004,150 McEwan Dr E,Bolton,ON,L7E 2Y3
43.910216,-78.714692,Walmart Supercentre; #1001,(905) 623-1001,2320 Hwy 2,Bowmanville,ON,L1C 0K5
45.0493,-79.29249,Walmart Supercentre; #1054,(705) 646-0550,40 Depot Dr,Bracebridge,ON,P1L 0A1
44.109081,-79.59741,Walmart Supercentre; #1101,(905) 775-1610,545 Holland St W,Bradford,ON,L3Z 0C1
43.773175,-79.780179,Walmart Supercentre; #1120,(905) 793-5478,5085 Mayfield Rd,Brampton Northeast,ON,L6R 3S9
43.679372,-79.721145,Walmart Supercentre; #1188,(905) 452-1710,15 Resolution Dr,Brampton South,ON,L6W 0A6
43.74087,-79.69525,Walmart Supercentre; #3135,(905) 793-1983,30 Coventry Rd,Brampton,ON,L6T 5P9
43.706049,-79.784235,Walmart Supercentre; #3130,(905) 874-0112,50 Quarry Edge Dr,Brampton,ON,L6V 4K2
43.655923,-79.812104,Walmart Supercentre; #1079,(905) 451-6307,9455 Mississauga Rd,Brampton,ON,L6X 0B3
43.183536,-80.280083,Walmart Supercentre; #3005,(519) 759-3450,1 - 300 King Georges Rd,Brantford,ON,N3R 5L7
44.614463,-75.68596,Walmart Supercentre; #3006,(613) 342-9293,1942 Parkdale Ave,Brockville,ON,K6V 3G9
43.33776,-79.81138,Walmart Supercentre; #3141,(905) 637-3100,2065 Fairview St,Burlington,ON,L7R 0B4
43.406367,-79.810526,Walmart Supercentre; #3170,(905) 331-0027,4515 Dundas St W,Burlington,ON,L7R 3X4
43.409936,-80.326274,Walmart Supercentre; #3152,(519) 624-7467,22 Pinebush Rd,Cambridge,ON,N1R 8K5
45.135735,-76.122293,Walmart Supercentre; #1075,(613) 253-1319,450 McNeely Ave,Carleton Place,ON,K7C 0A6
42.433806,-82.220467,Walmart Supercentre; #3016,(519) 352-1142,881 St Clair St,Chatham,ON,N7M 5J7
45.53287,-75.30587,Walmart Supercentre; #1060,(613) 446-5730,3001 Richelieu St,Clarence-Rockland,ON,K4K 0B5
43.97517,-78.19926,Walmart Supercentre; #3133,(905) 373-1239,73 Strathy Rd,Cobourg,ON,K9A 5J7
44.496022,-80.231903,Walmart Supercentre; #1039,(705) 445-9262,10 Cambridge St,Collingwood,ON,L9Y 0A1
45.025393,-74.744093,Walmart Supercentre; #3020,(613) 933-8366,420 Ninth St W,Cornwall,ON,K6J 0B3
49.785241,-92.811539,Walmart Supercentre; #3024,(807) 223-7190,Hwy 17 E,Dryden,ON,P8N 2Y6
43.618185,-79.555342,Walmart Supercentre; #3031,(416) 239-7090,165 N Queen St,Etobicoke,ON,M9C 1A7
43.71072,-80.386383,Walmart Supercentre; #1130,(519) 843-1591,801 St David St N,Fergus,ON,N1M 2L1
42.906172,-78.942683,Walmart Supercentre; #3649,(905) 991 9971,750 Garrison Rd,Fort Erie,ON,L2A 1N7
48.608104,-93.434335,Walmart; #5806,(807) 274-1373,1250 King's Hwy,Fort Frances,ON,P9A 2X6
43.648301,-79.898521,Walmart Supercentre; #3034,(905) 873-0400,300 Guelph St,Georgetown,ON,L7G 4B1
43.727732,-81.68792,Walmart Supercentre; #3126,(519) 524-5060,35400 Huron Rd,Goderich,ON,N7A 3X8
43.56422,-80.27878,Walmart Supercentre; #3144,(519) 767-1600,11 Woodlawn Rd W,Guelph,ON,N1H 1G8
43.522606,-80.230714,Walmart Supercentre; #1199,(519) 821-0618,175 Stone Rd W,Guelph,ON,N1G 5L4
43.251582,-79.810097,Walmart Supercentre; #1121,(905) 548-6680,1115 Barton St E,Hamilton,ON,L8H 2V2
43.173856,-79.784047,Walmart Supercentre; #1042,(905) 692-7000,2190 Rymal Rd E,Hamilton,ON,L0R 1P0
43.222468,-79.852877,Walmart; #1154,(905) 574-5804,499 Mohawk Rd E,Hamilton,ON,L8V 4L7
43.236138,-79.877465,Walmart Supercentre; #3037,(905) 389-6333,675 Upper James St,Hamilton,ON,L9C 2Z5
44.157914,-80.998104,Walmart Supercentre; #3129,(519) 364 0867,1100-10th St,Hanover,ON,N4N 3B8
45.592771,-74.601633,Walmart Supercentre; #1159,(613) 632-3455,1550 Cameron St,Hawkesbury,ON,K6A 3S5
45.34399,-79.22997,Walmart Supercentre; #5743,(705) 787-1137,111 Howland Dr Unit #10,Huntsville,ON,P1H 2P4
45.3098,-75.91288,Walmart; #3134; (NOP),(613) 599-6765,500 Earl Grey Dr,Kanata,ON,K2T 1B6
45.274137,-75.870608,Walmart Supercentre; #1118; (NOP),(613) 831-2636,5357 Fernbank Rd,Kanata,ON,K2S 1B6
49.401609,-82.379253,Walmart; #3041,(705) 335-6111,350 Government Rd E,Kapuskasing,ON,P5N 2X7
45.028766,-75.630328,Walmart Supercentre; #1047,(613) 258-6295,340 Colonnade Dr,Kemptville,ON,K0G 1R0
49.75734,-94.47285,Walmart; #5854; (NOP),(807) 468-6379,24 Mikana Way Unit #1,Kenora,ON,P9N 4J1
44.217598,-79.445464,Walmart Supercentre; #1012,(905) 476-1729,23550 Woodbine Ave,Keswick,ON,L4P 3E9
44.264006,-76.572852,Walmart Supercentre; #3043,(613) 384-9071,1130 Midland Ave,Kingston,ON,K7P 2X9
43.43375,-80.558563,Walmart Supercentre; #1111,(519) 745-1800,100 The Boardwalk,Kitchener,ON,N2N 0B1
43.449123,-80.445007,Walmart; #1155,(519) 748-2118,1005 Ottawa St N,Kitchener,ON,N2A 1H2
43.41593,-80.51893,Walmart Supercentre; #1007,(519)745-2297,1400 Ottawa St S Unit E,Kitchener,ON,N2E 4E2
43.425,-80.43709,Walmart; #3045,(519) 894-6600,2960 Kingsway Dr,Kitchener,ON,N2C 1X1
42.036906,-82.598786,Walmart Supercentre; #3164,(519) 326-3164,304 Erie St S,Leamington,ON,N8H 3C5
43.729278,-80.970454,Walmart; #1160,(519) 291-9117,600 Mitchell Rd S,Listowel,ON,N4W 3T1
42.931845,-81.223723,Walmart Supercentre; #3051,(519) 681-7500,1105 Wellington Rd S,London,ON,N6E 1V4
43.019596,-81.215508,Walmart; #1157,(519) 452-7814,1275 Highbury Ave N,London,ON,N5Y 1A8
43.009627,-81.331134,Walmart Supercentre; #3050,(519) 472-7100,1280 Fanshawe Park Rd W,London,ON,N6G 5B1
43.001646,-81.172027,Walmart Supercentre; #3049,(519) 455-8910,330 Clarke Rd,London,ON,N5W 6G4
43.718918,-79.638702,Walmart Supercentre; #1137,(905) 612-8076,7333 Goreway Dr,Malton,ON,L4T 2T8
43.859509,-79.501542,Walmart Supercentre; #1115,(905) 417-3766,1900 Major Mackenzie Dr,Maple,ON,L6A 4R9
43.871301,-79.215267,Walmart Supercentre; #1109,(905) 472-9582,500 Copper Creek Dr,Markham,ON,L6B 0S1
43.867108,-79.290345,Walmart Supercentre; #3053,(905) 477-6060,5000 Hwy-7 Unit Y006A,Markham,ON,L3R 4M9
44.733003,-79.873048,Walmart Supercentre; #3645,(705) 526-4754,16845 Hwy-12 RR 1,Midland,ON,L4R 4K3
43.541723,-79.868125,Walmart Supercentre; #1000,(905) 864-6027,1280 Steeles Ave E,Milton,ON,L9T 6R1
43.594815,-79.642088,Walmart Supercentre; #3055,(905) 270-9300,100 City Centre Dr,Mississauga,ON,L5B 2C9
43.608955,-79.577402,Walmart Supercentre; #1126,(905) 615-1018,1500 Dundas St E,Mississauga,ON,L4X 1L4
43.545041,-79.683129,Walmart Supercentre; #3654,(905) 608-0922,2160 Burnhamthorpe Rd W,Mississauga,ON,L5L 5Z5
43.594836,-79.788208,Walmart Supercentre; #3054,(905) 821-8150,3155 Argentia Rd,Mississauga,ON,L5N 8E1
43.558656,-79.709529,Walmart Supercentre; #1211,(905) 820-3796,5100 Erin Mills Pkwy,Mississauga,ON,L5M 4Z5
43.60794,-79.692844,Walmart Supercentre; #1061,(905) 817-9688,800 Matheson Blvd W,Mississauga,ON,L5V 2N6
44.261259,-76.969065,Walmart Supercentre; #1041,(613) 354-3100,89 Jim Kimmett Blvd.,Napanee,ON,K7R 3L1
47.532885,-79.666154,Walmart Supercentre; #3128,(705) 647-6344,133 Hwy-11,New Liskeard,ON,P0J 1P0
44.068658,-79.430493,Walmart; #1161,(905) 830-9243,1111 Davis Dr,Newmarket,ON,L3Y 8X2
44.066859,-79.484682,Walmart Supercentre; #3062,(905) 853-8811,17940 Yonge S,Newmarket,ON,L3Y 8S4
43.068157,-79.117976,Walmart Supercentre; #3160; (NOP),(905) 371-3999,7481 Oakwood Dr,Niagara Falls,ON,L2E 7K5
46.315751,-79.441273,Walmart Supercentre; #3063,(705) 472-1704,1500 Fisher St,North Bay,ON,P1B 2H3
43.708939,-79.475724,Walmart; #3105; (NOP),(416) 244-1171,1305 Lawrence Ave W,North York,ON,M6L 1A5
43.483327,-79.719143,Walmart Supercentre; #3064,(905) 257-5740,234 Hays Blvd,Oakville,ON,L6H 6M4
43.929919,-80.096407,Walmart Supercentre; #3142,(519) 940-0018,95 1 St,Orangeville,ON,L9W 2E8
44.614068,-79.44696,Walmart Supercentre; #3153,(705) 325-7403,175 Murphy Rd,Orillia,ON,L3V 0B5
45.451995,-75.509208,Walmart Supercentre; #3065,(613) 837-9399,3900 Innes Rd,Orleans,ON,K1C 1T1
43.907599,-78.814547,Walmart Supercentre; #1153,(905) 579-3325,1300 King St E,Oshawa,ON,L1H 8J4
43.94278,-78.847706,Walmart Supercentre; #3161,(905) 404-6581,1471 Harmony Rd,Oshawa,ON,L1H 7K5
43.88069,-78.88154,Walmart Supercentre; #1056,(905) 438-1400,680 Laval Dr,Oshawa,ON,L1J 0B5
45.348681,-75.805,Walmart Supercentre; #3066; (NOP),(613) 820-8767,100 Bayshore Dr,Ottawa,ON,K2B 8C1
45.363346,-75.738665,Walmart Supercentre; #1110,(313) 224-2564,1375 Baseline Rd,Ottawa,ON,K2C 3L9
45.434433,-75.610565,Walmart; #1158; (NOP),(613) 842-0111,1980 Ogilvie Rd,Ottawa,ON,K1J 9L3
45.354996,-75.653882,Walmart Supercentre; #3131,(613) 247-1184,2210 Bank St,Ottawa,ON,K1V 1J5
45.385501,-75.679173,Walmart Supercentre; #1200,(613) 737-6897,2277 Riverside Dr,Ottawa,ON,K1H 7X6
45.414012,-75.649978,Walmart Supercentre; #1031,(613) 562-0500,450 Terminal Ave,Ottawa,ON,K1G 0Z3
44.574098,-80.911149,Walmart Supercentre; #3067,(519) 371-6900,1555 18th Ave E,Owen Sound,ON,N4K 6Y3
45.345912,-80.010924,Walmart Supercentre; #1023,(705) 746-1573,1 Pine Dr,Parry Sound,ON,P2A 3C3
45.818289,-77.080369,Walmart Supercentre; #3171,(613) 735-4997,1108 Pembroke St E,Pembroke,ON,K8A 7R4
44.32434,-78.33353,Walmart Supercentre; #3071,(705) 742-5090,1002 Chemong Rd,Peterborough,ON,K9H 7E2
44.283354,-78.342357,Walmart Supercentre; #1162,(705) 876-9617,950 Lansdowne St,Peterborough,ON,K9J 1Z9
43.843959,-79.068945,Walmart Supercentre; #3186,(905) 619-9588,1899 Brock Rd Unit #1,Pickering,ON,L1V 4H7
44.422924,-81.396563,Walmart Supercentre; #1059; (NOP),(519) 389-6150,5122-Hwy 21,Port Elgin,ON,N0H 2C0
44.093731,-78.963145,Walmart Supercentre; #1069,(905) 985-1531,1535 Hwy 7A,Port Perry,ON,L9L 1B5
45.478576,-76.654285,Walmart Supercentre; #3078,(613) 432-4676,980 O'Brien Rd RR #1,Renfrew,ON,K7V 4G8
43.714624,-79.553561,Walmart Supercentre; #3740,(416) 747-6499,2245 Islington Ave,Rexdale,ON,M9W 3W7
43.877256,-79.409737,Walmart Supercentre; #3195,(905) 737-3457,1070 Major Mackenzie Dr E,Richmond Hill,ON,L4S 1P3
43.841221,-79.41583,Walmart Supercentre; #1116,(905) 747-0628,255 Silver Linden Dr,Richmond Hill,ON,L4B 4V5
42.987759,-82.347925,Walmart Supercentre; #3082,(519) 542-4272,1444 Quinn Dr,Sarnia,ON,N7S 6M8
46.511672,-84.336372,Walmart Supercentre; #1163; (NOP),(705) 254-1962,293 Bay St,Sault Ste Marie,ON,P6A 1X3
46.541307,-84.316148,Walmart Supercentre; #3155; (NOP),(705) 253-9522,446 Great Northern Rd,Sault Ste Marie,ON,P6B 4Z9
43.777711,-79.258699,Walmart Supercentre; #3635,(416) 290-1916,300 Borough Dr,Scarborough,ON,M1P 4P5
43.742513,-79.225497,Walmart Supercentre; #1117,(905) 265-2355,3132 Eglington Ave E,Scarborough,ON,M1J 2H1
43.834363,-79.25563,Walmart Supercentre; #1080,(416) 298-1210,5995 Steeles Ave E,Scarborough,ON,M1V 5P6
43.797518,-79.201924,Walmart Supercentre; #3111,(416) 281-2929,799 Milner Ave,Scarborough,ON,M1B 3C3
43.727607,-79.295136,Walmart Supercentre; #3159,(416) 615-2027,1900 Eglinton Ave E,Scarborough-West,ON,M1L 2L9
42.848416,-80.286831,Walmart Supercentre; #5752,(519)426-6900,160 Queensway E,Simcoe,ON,N3Y 0A8
44.892717,-76.031415,Walmart Supercentre; #5811,(613) 284-0838,114 Lombard St,Smiths Falls,ON,K7A 5B8
43.178427,-79.243093,Walmart; #1164,(905) 646-4566,285 Geneva St,St Catharines,ON,L2N 2G1
43.152376,-79.267884,Walmart Supercentre; #3172,(905) 687-9215,420 Vansickle Rd,St Catharines,ON,L2S 0C7
43.176534,-79.212188,Walmart Supercentre; #3088,(905) 685-4100,525 Welland Ave,St Catharines,ON,L2M 5V2
42.781038,-81.171383,Walmart Supercentre; #3197,(519) 637-7100,1063 Talbot St Unit #60,St Thomas,ON,N5P 1G4
43.230708,-79.764079,Walmart Supercentre; #3096,(905) 561-7600,510 Centennial Pkwy N,Stoney Creek,ON,L8E 0G2
43.955888,-79.275024,Walmart Supercentre; #1029,(905) 640-8848,1050 Hoover Park Dr,Stouffville,ON,L4A 0K2
43.371236,-80.949213,Walmart Supercentre; #1125,(519) 272-0995,920 Ontario St,Stratford,ON,N5A 3K1
42.94843,-81.607292,Walmart Supercentre; #1038,(519) 245-7200,150 Carroll St E RR 1,Strathroy,ON,N7G 3H3
46.44142,-81.004909,Walmart Supercentre; #1105,(705) 523-6287,2416 Long Lake Rd,Sudbury South,ON,P3E 5H5
46.521372,-80.948246,Walmart Supercentre; #3097,(705) 566-3700,1349 Lasalle Blvd,Sudbury,ON,P3A 1Z2
43.811411,-79.452308,Walmart Supercentre; #5831,(905) 709-4494,700 Centre St,Thornhill,ON,L4J 0A7
48.45179,-89.2532,Walmart Supercentre; #1166,(807) 345-8490,1020 Dawson Rd,Thunder Bay,ON,P7B 1K6
48.38239,-89.30989,Walmart; #1165,(807) 473-8035,1101 Arthur St W,Thunder Bay,ON,P7E 5S2
48.4128,-89.240972,Walmart Supercentre; #3124,(807) 346-9441,777 Memorial Ave,Thunder Bay,ON,P7B 3Z7
42.861484,-80.728432,Walmart Supercentre; #3103,(519) 842-7770,170 Broadway St,Tillsonburg,ON,N4G 4X1
48.473964,-81.393597,Walmart Supercentre; #3104,(705) 267-6451,1870 Riverside Dr,Timmins,ON,P4N 7C3
43.669418,-79.339249,Walmart Supercentre; #1150,(416) 461-8778,1000 Gerrard St E,Toronto,ON,M4M 3G6
43.721724,-79.511384,Walmart; #1151,(416) 243-2363,2202 Jane St,Toronto,ON,M3M 1A4
43.66772,-79.48589,Walmart Supercentre; #1004,(416) 763-7325,2525 St Clair Ave W,Toronto,ON,M6N 4Z5
43.757604,-79.488971,Walmart Supercentre; #1139,(416) 633-0854,3757 Keele St,Toronto,ON,M3J 1N4
43.656318,-79.43493,Walmart Supercentre; #3106; (NOP),(416) 537-2561,900 Dufferin St,Toronto,ON,M6H 4A9
44.094232,-77.603681,Walmart Supercentre; #3178,(613) 394 2191,470 2nd Dughill Rd,Trenton,ON,K8V 5P7
44.08781,-79.133445,Walmart; #3653,(905) 862-0721,6 Welwood Rd,Uxbridge,ON,L9P 1Y4
43.795658,-79.530293,Walmart Supercentre; #3145; (NOP),(905) 761-7945,101 Edgeley Blvd,Vaughan,ON,L4K 4Z4
43.84549,-79.555122,Walmart Supercentre; #1095,(905) 832-4060,3600 Major Mackenzie Dr,Vaughan,ON,L6A 1S1
42.586153,-82.38495,Walmart Supercentre; #1064,(519)627-8840,60 McNaughton Ave Unit 16,Wallaceburg,ON,N8A 1R9
44.52492,-80.0065,Walmart Supercentre; #1087,(705 )442-7100,100 Stonebridge Blvd,Wasaga Beach,ON,L9Z 0C1
43.316192,-79.909572,Walmart Supercentre; #1107,(905) 690-7090,90 Dundas St. E,Waterdown,ON,L0R 2H2
43.509028,-80.548502,Walmart Supercentre; #3156,(519) 746 6700,335 Farmers Market Rd,Waterloo,ON,N2V 0A4
43.46962,-80.515148,Walmart Supercentre; #1156,(519) 746-1378,70 Bridgeport Rd E,Waterloo,ON,N2J 2J9
43.01483,-79.22937,Walmart Supercentre; #3110,(905) 735-3500,102 Primeway Dr,Welland,ON,L3B 0A1
43.91737,-78.95973,Walmart Supercentre; #3113,(905) 655-0206,4100 Baldwin St S,Whitby,ON,L1R 3H8
42.270682,-83.010996,Walmart Supercentre; #3114,(519) 969-8121,3120 Dougall Ave,Windsor,ON,N9E 1S7
42.314048,-82.942432,Walmart Supercentre; #3115,(519) 945-3065,7100 Tecumseh Rd E,Windsor,ON,N8T 1E6
43.786103,-79.628413,Walmart Supercentre; #1081,(905) 851-4648,8300 Hwy 27,Woodbridge,ON,L4H 0R9
43.11515,-80.734587,Walmart Supercentre; #3120,(519) 539-5120,499 Norwich Ave,Woodstock,ON,N4S 9A2
